FINANSAL MUHASEBE - KONU KONU DURUM  (10.09.2026 21:50)
plan konusu: 290 · kasadaki FMuh sorusu: 7205
tam = konu adi BIREBIR ayni · gevsek = ad icinde geciyor
==============================================================================
KONU                                                  plan    tam  gevsek
accountancy europe uyeligi                               9      0       0
acilis bakiyeleri denetimi                               4      0       0
akreditif kaydi                                         12      0       0
analitik prosedur                                        4      0       0
ara donem raporlama                                      5      0       0
aralikli envanter stok hesabi                            5      0       0
ardisik donem satilan mamul maliyeti                     4      0       0
azalan bakiyelerden normale gecis amortismani            4      0       0
basit (dogrudan) dagitim yontemi                         4      0       0
bilanco hesaplari                                        5      0       0
bilanco sonrasi olaylar                                  4      0       0
birinci tertip yedek akce                                6      0       0
birlesik maliyet satis degeri yontemi                    4      0       0
birlesik maliyet uretim miktari yontemi                  4      0       0
borc senedi iskontosu                                    5      0       0
borc senedi yenileme                                     9      0       0
cari oran duran varlik                                   5      0       0
degisken-normal maliyet birim farki                      4      0       0
denetci raporu bolumleri                                 4      0       0
denetim belgelendirme                                    6      0       0
denetim gorusu                                           8      0       0
denetim kaniti uygunlugu                                 4      0       0
denetim kanitlari                                       30      0       0
denetim riski                                           36      0       0
denetim sozlesmesi icerigi                               4      0       0
denetim teknikleri                                       4      0       0
denetimde ornekleme                                      4      0       0
dikey analiz                                             6      0       0
dikey yuzdelerden bilanco yorumu                         4      0       0
dikey yuzdelerden oz kaynak-aktif                        4      0       0
dikkat cekilen hususlar paragrafi                        6      0       0
direkt ilk madde geriye dogru hesap                      4      0       0
dis teyit prosedurleri                                   4      0       0
donem net zarari kapanisi                                9      0       0
doviz kredisi kapatma                                    5      0       0
duran varlik takasi                                      9      0       0
duran varlik toplami hesaplama                           6      0       0
ekonomik siparis miktari                                 6      0       0
evre maliyet sistemi                                    30      0       0
faaliyet giderleri hesabi                                9      0       0
faaliyet nakit akisi                                     6      0       0
fifo esdeger birim (dimm)                                4      0       0
finansal oran analizi                                    4      0       0
finansal oranlar                                         4      0       0
finansman gideri islemleri                               3      0       0
gider pusulasi                                           4      0       0
gug birim pay hesabi                                     4      0       0
hilede ongorulemezlik                                    6      0       0
iasb calismalari                                         6      0       0
ic kontrol unsurlari                                     9      0       0
ic kontrol-kontrol cevresi                               9      0       0
iliskili taraf denetimi                                  4      0       0
iliskili taraf tanimi                                    4      0       0
iliskili taraflar denetimi                               8      0       0
isletme birlesmesi serefiye                              9      0       0
isletmenin surekliligi gorusu                            9      0       0
kanit yeterliligi unsurlari                              4      0       0
kapasite artirici harcama amortismani                    4      0       0
kar payi vergi kesintisi                                 9      0       0
karsilastirmali tablolar analizi                         4      0       0
kasa denetimi                                           30      0       0
kavramsal cerceve ifa degeri                             9      0       0
kavramsal cerceve niteliksel ozellikler                  9      0       0
kavramsal cerceve yukumluluk                             9      0       0
likidite orani                                           4      0       0
maddi duran varlik denetimi                              6      0       0
maddi duran varlik harcamasi                             4      0       0
maddi olmayan duran varlik denetimi                      4      0       0
matematiksel dagitim yontemi                             6      0       0
menkul kiymet denetimi                                   4      0       0
