"ders","konu","ilgili"
"Sermaye Piyasası Mevzuatı (Ek: RG-19/8/2014-29093)","sermaye piyasasi suclari","1"
"Sermaye Piyasası Mevzuatı (Ek: RG-19/8/2014-29093)","muhasebe usulsuzluk sucu","1"
"Sermaye Piyasası Mevzuatı (Ek: RG-19/8/2014-29093)","spk tanimlar","1"
"Sermaye Piyasası Mevzuatı (Ek: RG-19/8/2014-29093)","baslangic sermayesi tutari","0"
"Sermaye Piyasası Mevzuatı (Ek: RG-19/8/2014-29093)","para ve sermaye piyasasi","1"
"Sermaye Piyasası Mevzuatı (Ek: RG-19/8/2014-29093)","menkul kiymet satis sekilleri","1"
"Muhasebe Denetimi","denetim kaniti yeterliligi","1"
"Muhasebe Denetimi","satis maliyeti denetimi","0"
"Muhasebe Denetimi","reklam yasagi ilke ve kurallari","1"
"Muhasebe Denetimi","seffaflik raporu","1"
"Muhasebecilik ve Mali Müşavirlik Meslek Hukuku","etik ilkeler","1"
"Muhasebecilik ve Mali Müşavirlik Meslek Hukuku","oda organlari","1"
"Finansal Tablolar ve Analizi","likidite tanimi","1"
"Finansal Tablolar ve Analizi","cari oran","0"
"Finansal Tablolar ve Analizi","oz kaynak karlilik orani","1"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","is kazasi sigortasi","1"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","bolge idare mahkemesi gorevleri","0"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","hukukta bosluk ve takdir yetkisi","0"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","ticari is tanimi","1"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","idari yargi sureleri","0"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","malulluk ayligi sartlari","1"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","ttk ticari isler hukumleri","1"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","is sozlesmesi turleri","1"
"Hukuk (Ticaret H., Borçlar H., İş H., SSK ve Bağ-Kur Mevzuatı, İdari Yargılama H.)","kusursuz sorumluluk halleri","1"
"Vergi Mevzuatı ve Uygulaması","vergi teminati kdv","0"
"Vergi Mevzuatı ve Uygulaması","kurumlar vergisi mukellefleri","1"
