"ders","konu","agirlik","notVar","gerekce"
"Hukuk","borcu sona erdiren sebepler","3","False","Parçalar borcu sona erdiren sebepleri (ifa, takas, ibra, yenileme vb.) doğrudan anlatmıyor."
"Hukuk","idari yargida merci tayini","2","False","Hiçbir parça idari yargıda görevli/yetkili mahkeme tayinini anlatmıyor; tamamı TTK/TBK hükümleri."
"Hukuk","istinaf yolu","2","False","Hiçbir parça istinaf yolunu (usul, süre, mahkeme) doğrudan anlatmıyor; ilgisiz konular içeriyor."
"Hukuk","kira sozlesmesi tazminati","2","False","Hiçbir parça kira sözleşmesi tazminatına ilişkin kural/tanım/hesap yöntemi içermiyor; zamanaşımı, genel hükümler vs. ilgisiz."
"Hukuk","limited sirket idare temsil","2","False","Hiçbir parça limited şirket idare ve temsiline ilişkin kuralları doğrudan anlatmıyor."
"Hukuk","limited sirket temsili","2","False","Hiçbir parça limited şirket temsilini (yetki, temsilci atanması, sınırları) doğrudan düzenlemiyor."
"Hukuk","ticari alacaklarda kisa zamanasimi","2","False","Hiçbir parça ticari alacaklarda kısa zamanaşımı süresini/kurallarını doğrudan düzenlemiyor."
"Hukuk","ticari arabuluculuk suresi","2","False","Parçalar ticari arabuluculuk süresini düzenlemiyor; m.5 kesik, geçici m.12 ve iş hukuku arabuluculuğu farklı konular."
"Hukuk","ticari isletme unsurlari","2","False","Hiçbir parça ticari işletme unsurlarını (esnaf ölçütü, süreklilik, bağımsızlık, gelir amacı vb.) doğrudan tanımlamıyor."
"Hukuk","ticari senetler ortak ozellikler","2","True","Hiçbir parça ticari senetlerin ortak özelliklerini (kambiyo senedi tanımı, unsurları) doğrudan anlatmıyor."
"Hukuk","vergi yargisi yurutmenin durdurulmasi","2","False","Hiçbir parça vergi yargısında yürütmenin durdurulması kurumunu anlatmıyor; tamamı TTK/TBK hükümleri."
"Hukuk","yargi yeri uyusmazligi","2","False","Hiçbir parça yargı yeri (görev/yetki) uyuşmazlığını doğrudan düzenlemiyor; alakasız hükümler."
"Hukuk","yurutmenin durdurulmasi sartlari","2","False","Hiçbir parça İYUK m.27'deki yürütmenin durdurulması şartlarını (telafisi güç zarar, açık hukuka aykırılık) doğrudan anlatmıyor."
"Hukuk","4/a sigortalisi kapsami","1","False","Parçalar işe giriş bildirgesi süresini anlatıyor; 4/a sigortalısının kapsamı/tanımı doğrudan işlenmiyor."
"Hukuk","5510 sigortali sayilma","1","False","Parçalar sağlık hizmetleri finansmanı ve geçiş hükümlerini anlatıyor; sigortalı sayılma tanımını içermiyor."
"Hukuk","5510 ucret tanimi","1","False","Hiçbir parça 5510 sayılı Kanun'daki ücret tanımını doğrudan içermiyor; muhasebe/iktisat teorisi ve 4857 md.5-7 farklı konular."
"Hukuk","analik sigortasi sartlari","1","False","Analık sigortası şartlarını (5510 m.15-16 vb.) doğrudan anlatan parça yok; genel tanım/madde numaraları yeterli değil."
"Hukuk","bolge idare mahkemesi gorevleri","1","False","Hiçbir parça bölge idare mahkemesi görevlerini düzenlemiyor; idari yargı kaynağı yok."
"Hukuk","borc iliskisi unsurlari","1","False","Hiçbir parça borç ilişkisi unsurlarını (alacaklı, borçlu, edim vb.) tanımlamıyor; konuyla ilgisiz içerikler."
"Hukuk","borclu temerrudu","1","False","Parçalar borçlu temerrüdünü değil, alacaklı temerrüdü, faiz, cari hesap gibi başka konuları anlatıyor."
"Hukuk","borcu sona erdiren haller","1","False","Hiçbir parça ibra, takas, yenileme, ifa, imkânsızlık gibi borcu sona erdiren halleri düzenlemiyor."
"Hukuk","calisma hayati denetimi","1","False","Parçalar tanım, sigorta türleri, dava süreleri gibi konuları içeriyor; çalışma hayatının denetimi/teftişi doğrudan anlatılmıyor."
"Hukuk","calisma suresi hesabi","1","True","Hiçbir parça çalışma süresi (haftalık/günlük iş süresi, fazla mesai) hesabını doğrudan düzenlemiyor."
"Hukuk","danistay gorevleri","1","False","Hiçbir parça Danıştay görevlerini anlatmıyor; TTK genel kurul, iş K. ve SGK maddeleri konu dışı."
"Hukuk","danistay yargi gorevleri","1","False","Hiçbir parça Danıştay'ın yargı görevlerini doğrudan düzenlemiyor; sadece dolaylı geçiş/atıf hükümleri var."
"Hukuk","dava turleri savunma","1","False","Parçalar dava türleri/savunma konusunu doğrudan tanımlamıyor; farklı hükümler (tasfiye, cari hesap, taşıma, haksız fiil) içeriyor."
"Hukuk","denetim engelleme cezasi","1","False","Parçalar denetim/teftiş yetkisini tanımlıyor, denetimi engellemenin cezasını doğrudan içeren madde yok."
"Hukuk","eksik borclar","1","False","Hiçbir parça eksik borç tanımını, kurallarını veya sonuçlarını doğrudan anlatmıyor."
"Hukuk","elektronik imza kiymetli evrak","1","True","Elektronik imza konusuna dair içerik yok; soyutluk ve ciro anlatılıyor, ilgisiz."
"Hukuk","emre yazili kiymetli evrak devri","1","True","m.682 emre yazılı senette ciro şartlarını, kısmi ve hamiline cironun hükmünü doğrudan düzenliyor."
"Hukuk","fazla calisma sinirlari","1","True","Hiçbir parça fazla çalışma sınırlarını (haftalık/yıllık üst sınır, oran) düzenlemiyor."
"Hukuk","fazla calisma ve mazeret izni","1","True","Hiçbir parça fazla çalışma veya mazeret izni kuralını doğrudan içermiyor."
"Hukuk","fiil ehliyeti","1","False","Parçalar temsil, haksız fiil, şirketler hukukunu anlatıyor; fiil ehliyetinin tanım/kuralını içeren TMK metni yok."
"Hukuk","fiil ehliyeti kosullari","1","False","Hiçbir parça fiil ehliyeti koşullarını (yaş, ayırt etme gücü, kısıtlılık vb.) doğrudan tanımlamıyor."
"Hukuk","genel zamanasimi suresi","1","True","Parçalar özel zamanaşımı sürelerini anlatıyor; genel zamanaşımı süresini (TBK m.146, 10 yıl) düzenleyen madde metni yok."
"Hukuk","gercek kisilik baslangic sona erme","1","False","Hiçbir parça gerçek kişiliğin başlangıcı/sona ermesini (TMK m.28-31) doğrudan düzenlemiyor."
"Hukuk","hak kavrami ve turleri","1","True","Hiçbir parça hak kavramı/türleri tanımını doğrudan içermiyor; farklı konuları anlatıyor."
"Hukuk","hakimin uyguladigi hukuk kurallari","1","False","Parçalar hakimin uyguladığı hukuk kuralları konusunu değil, farklı usul/mevzuat hükümlerini anlatıyor."
"Hukuk","hakimin uygulayacagi kurallar","1","False","Parçalar haciz, prime esas kazanç, yargı harcırahı/dilekçe usulü; hakimin uygulayacağı kurallar konusunu içermiyor."
